,Species,PRDM9_final,Major.clade,Domain.architecture,organism_name,ACER3,ACSS2,ACYP2,ADARB1,ADK,ANHX,ANKRD31,ATAD5,BEND2,BLM,BOD1L1,BRCA1,BRCA2,BRIP1,BRIT1,BUB1,C11orf80,C14orf39,C15orf43,C17orf104,CAPRIN2,CASP8AP2,CCNB1IP1,CDK11B,CENPM,CMC4,CTIP,CYLD,DDX10,DIP2C,DNAJC3,EAPP,ECSIT,EML5,ESCO2,FAM178B,FAM90A1,FMR1,G7D,GINS3,HDGFRP2,HEI10,HIST1H1A,HOP2,HSPB11,HUS1,HUS1B,INCA1,IWS1,KDM6A,KIF23,LIG1,MAGI3,MAP7D2,MCM5,MEIOB,MFSD7,MKI67,MLH1,MMS22L,MND1,MPC1,MRE11A,MSH4,MYO9A,NABP2,NACAD,NCAPG2,NEK1,NPAT,NUDT17,NXF2,NXF2B,NXF5,PAF1,PAK1,PDIA4,PIGP,POLB,PPFIBP1,PRIM1,PRIMPOL,PTPRA,RABGAP1L,RAD21L1,RAD51,RAD51AP2,RAD52,RBM27,REC114,RNF20,RNF212,RPA,RRP1B,S100PBP,SACS,SETDB1,SGSM3,SIRT7,SLC25A42,SMC1B,SMC3,SPECC1,STRA8,SYCE1,SYCP1,SYCP2,SYCP3,TAF7L,TC2N,TECPR2,TEX101,TEX11,TEX12,TEX15,TIPIN,TRO,TTC3,UBA6,UBXN2A,UGT8,UIMC1,UVSSA,ZC3H13,ZCWPW1,ZCWPW2,ZNF140,ZNF672,ZNF84,FANCB,FMR1NB,HAUS8,M1AP,MEI1,SPATA22,FBXO47,HMGA2,HSF2BP,IQCB1,PRAME,SYCE2
1,Acinonyx_jubatus,1,Mammalia,KRAB-SSXRD-SET,Acinonyx jubatus,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Acipenser_ruthenus,1,Actinopterygii,not_assigned,Acipenser ruthenus,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
3,Ailuropoda_melanoleuca,1,Mammalia,KRAB-SSXRD-SET,Ailuropoda melanoleuca,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,Amblyraja_radiata,1,Cartilaginous,not_assigned,Amblyraja radiata,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
5,Anolis_carolinensis,0,Reptilia,absent,Anolis carolinensis,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
6,Aotus_nancymaae,1,Mammalia,not_assigned,Aotus nancymaae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
7,Arvicanthis_niloticus,1,Mammalia,not_assigned,Arvicanthis niloticus,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,Balaenoptera_acutorostrata,1,Mammalia,KRAB-SSXRD-SET,Balaenoptera acutorostrata scammoni,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
9,Bison_bison,1,Mammalia,KRAB-SSXRD-SET,Bison bison bison,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
10,Bos_indicus,1,Mammalia,KRAB-SSXRD-SET,Bos indicus,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
